x1,x2,class_label
-2.142219,-1.033079,g
1.19323,-2.726961,i
-1.700872,1.143727,e
0.57794,2.17573,c
-2.700943,-0.005376,f
-2.331628,-1.493604,g
-0.326398,1.914137,d
0.456717,-3.208017,i
1.079384,2.098111,c
1.743683,1.609114,b
0.739466,-2.048984,i
-2.286559,2.096289,e
0.560194,1.379986,c
1.208172,3.340701,c
-1.60723,1.159445,e
-1.430763,-1.648381,g
-0.842151,-2.530253,h
2.460895,-1.978998,j
2.928145,0.040312,a
-2.346644,-0.812644,g
1.95089,0.201399,a
-1.570073,-2.101417,g
-0.98186,-2.688734,h
-2.538798,-0.068581,f
0.678963,2.395733,c
-1.327085,1.668015,e
1.851784,-0.874852,j
-0.72588,-2.310256,h
0.427601,3.398252,c
0.253923,1.850879,c
-2.536161,-1.130728,g
0.594381,2.045869,c
1.917744,-0.267629,a
0.670504,2.31333,c
-0.644323,1.175989,d
-2.042737,-1.182063,g
-2.397445,-1.912434,g
-2.582873,-0.206283,f
0.305578,2.524972,c
2.016051,-1.539723,j
1.195333,2.044123,c
-0.536437,-2.633453,h
0.389419,-2.07792,i
-2.550785,-0.093955,f
-2.691111,0.72053,f
-1.298028,-2.307682,g
-0.838739,2.759303,d
-0.047184,-2.31589,h
-2.174361,0.914981,e
-2.572053,1.0721,e
-0.845219,-2.201602,h
-1.654031,-1.6268,g
1.917029,2.126363,b
-0.580279,-2.340923,h
1.513044,-1.29184,j
-2.869936,1.676461,e
-1.996302,1.867425,e
-2.350261,0.748963,e
0.632762,-2.53647,i
-2.840271,-0.531231,f
-1.177667,-2.337058,h
0.912129,2.696667,c
0.667645,-2.50175,i
-2.894295,-0.329843,f
1.1245,2.396357,c
-2.57164,0.192518,f
1.735027,-1.490363,j
1.708315,1.795466,b
-0.583135,2.546834,d
0.80245,2.859097,c
-2.466382,-0.446061,f
-1.68966,1.114685,e
-2.183942,0.847853,e
1.012314,-2.366799,i
2.651478,-0.360974,a
-0.204548,-2.153789,h
-0.817371,-2.160396,h
2.287583,1.098705,b
2.210023,-1.369233,j
-2.151331,1.964977,e
-0.386454,2.901691,d
2.421013,1.508247,b
-1.483551,-2.045418,g
1.129729,2.996833,c
-1.992299,-2.19274,g
-2.311126,0.353188,f
-2.064773,-1.043133,g
-1.895715,0.080678,f
0.885153,-2.479205,i
0.307181,3.199178,c
3.162235,-0.186853,a
2.124092,0.021457,a
2.196443,1.071789,b
2.194496,-1.730047,j
-0.967096,-2.155392,h
0.421518,2.158324,c
-2.378222,-0.041035,f
2.230589,-1.75205,j
0.895619,-3.118731,i
1.873646,1.422067,b
1.202719,2.072129,c
2.194169,1.838751,b
1.549297,1.683942,b
-0.403724,-2.472524,h
2.117226,0.257828,a
0.824373,2.461072,c
-2.749179,0.214042,f
-2.519016,-1.209285,g
-2.708092,2.220951,e
-1.884909,1.131961,e
1.945673,1.426686,b
-2.245404,-1.348315,g
-2.738692,0.046845,f
-1.021557,-2.012426,h
1.213264,2.552465,c
-0.352959,-3.234089,h
0.826341,-1.288273,j
0.154037,2.992054,c
-3.117581,0.413733,f
-3.098525,-0.169174,f
-2.164237,1.430447,e
-1.927126,1.770101,e
2.230061,1.310656,b
-2.311852,-1.542704,g
2.32969,-1.997132,j
2.576086,-0.281684,a
2.849798,1.076956,a
1.437725,-2.386345,i
-2.287966,0.292702,f
1.603116,1.745706,b
2.442703,-1.651793,j
2.329904,1.628059,b
2.083988,-1.434506,j
-1.002044,2.744158,d
0.954743,-2.953852,i
-0.691228,-1.80769,h
-1.220131,2.05558,d
-1.247258,1.80999,e
-1.503391,2.722011,d
-1.143801,2.525243,d
1.908589,-0.977408,j
2.396545,-1.271994,j
2.664901,1.15097,b
1.370798,1.14294,b
-0.037185,3.050021,c
0.973925,1.835757,c
-1.795232,1.088195,e
-0.201676,-2.014314,h
2.20111,-0.076865,a
-0.031862,-1.79141,i
0.928461,2.313155,c
0.849384,-2.53469,i
2.351455,-0.321463,a
1.726875,1.304878,b
-1.194558,-2.272036,h
-1.370385,0.974879,e
-1.926961,1.889052,e
-1.310981,2.467439,d
-1.364113,-2.218449,h
1.60435,1.934417,b
2.494065,0.150218,a
-2.0185,-0.289261,f
1.520507,1.028281,b
-1.759551,-1.30647,g
-1.713173,1.553459,e
0.622258,-2.096474,i
-2.395883,1.491135,e
2.537834,1.694846,b
-1.40256,1.906575,e
1.302643,2.52989,c
-2.033487,1.58268,e
-1.032919,-2.094456,h
-0.570264,-2.781457,h
2.423767,1.31729,b
-0.446226,-2.550349,h
1.904135,0.860177,b
-2.403388,0.217656,f
1.900904,2.356298,c
2.241202,0.279611,a
1.914611,-1.336861,j
1.92819,-2.012494,j
2.178932,-0.385249,a
-1.068995,2.306552,d
-2.549301,1.871279,e
1.961,1.541139,b
0.972388,-2.350095,i
0.51424,2.976406,c
2.552296,-0.028567,a
-2.73585,0.157835,f
0.744655,-1.627359,i
-2.026048,-2.071038,g
0.628542,-2.903748,i
-1.120727,2.035827,d
-0.702126,2.286379,d
-2.078374,1.304926,e
1.880784,1.239227,b
0.947969,3.027151,c
-2.347431,-1.133169,g
1.198874,2.326677,c
-1.722053,-1.737214,g
1.894659,-1.825666,j
1.479219,-2.094053,i
-1.904148,-1.456234,g
-1.604468,1.518028,e
-1.978043,-2.465821,g
2.477146,-2.399591,j
1.02265,2.690081,c
0.928869,-2.609885,i
-2.465113,0.118938,f
2.191015,-0.285013,a
1.581462,-2.635282,i
-1.300955,2.612696,d
-2.158613,-0.275689,f
-2.520839,0.203247,f
2.759062,-0.883004,a
-1.23145,1.647524,d
-0.459741,2.465299,d
-2.096296,-2.102759,g
2.732683,0.331848,a
0.319814,-1.64535,i
1.501018,1.422798,b
-1.009305,2.226285,d
-2.611451,1.58215,e
-0.070797,-1.836163,h
0.397138,2.974026,c
-0.175868,2.831756,d
-1.94017,-1.12841,g
2.195055,-0.536432,a
1.786453,-1.558139,j
2.481193,1.353031,b
1.957194,1.65962,b
0.357738,2.123364,c
1.224407,2.867626,c
0.665089,-2.267129,i
-0.560762,-2.408272,h
-1.761132,1.924298,e
2.567786,0.090632,a
-0.646264,-2.108112,h
-1.040176,2.019788,d
-2.890931,-1.264361,g
2.534096,-1.622275,j
-1.893636,-1.632182,g
-0.944509,-2.769091,h
1.970375,1.414841,b
-0.768336,-3.077635,h
-2.288705,1.454754,e
0.851534,-2.335405,i
-1.750029,-1.606665,g
-1.848728,-0.208606,f
2.53906,0.262087,a
-1.022251,-1.961539,h
-1.999137,-1.270916,g
2.098273,1.955391,b
1.644124,-2.726204,i
-1.21301,2.566834,d
-2.660689,-0.054961,f
-1.472976,1.169299,e
1.373798,2.04737,c
-1.645228,-1.710152,g
-0.795936,2.221065,d
-0.204002,3.166631,d
-2.401843,0.089953,f
2.096116,-1.479384,j
1.003957,2.472647,c
2.353881,1.732031,b
0.938981,1.632417,c
-0.752871,2.439752,d
-2.116921,2.043929,e
1.041178,-1.954747,i
-2.266384,0.110317,f
2.42222,-0.080909,a
-1.926248,0.269172,f
0.888274,-2.492557,i
-0.507981,-1.982359,h
2.272703,-1.166088,j
-1.002917,-3.062592,h
-1.918241,1.393123,e
0.540538,2.585235,c
-2.079758,1.673474,e
-2.053974,1.231234,e
-1.860095,-1.404847,g
-1.623726,-2.565317,h
-1.599552,1.657307,e
1.612469,-1.896206,j
-1.886196,-1.63669,g
-2.440458,1.611756,e
-0.398292,-2.657881,h
3.114751,0.220615,a
-1.603036,2.623584,d
1.710684,1.847589,b
0.347982,-2.469669,i
2.22982,0.129985,a
0.428405,-2.201043,i
-0.485219,2.324148,d
-2.402005,1.388221,e
1.20934,-2.886257,i
1.94915,-0.205895,a
-0.866253,1.491958,d
1.214335,-2.517531,i
0.71413,2.043522,c
0.842208,-2.887423,i
-0.369232,2.511647,d
-2.847799,1.229537,e
1.258361,-1.060356,j
-3.027623,0.414386,f
-1.644071,-2.600546,h
0.210426,2.350353,c
-0.995991,-2.289438,h
-2.083813,-0.060779,f
2.361503,0.512847,b
2.286123,-0.102276,a
0.782653,2.698676,c
-2.672308,0.638056,f
0.586339,2.249888,c
0.346477,-2.068135,h
-2.113694,2.068461,e
2.188434,2.0188,b
-0.87059,-3.094077,h
-1.439586,2.528431,d
-2.010028,1.137847,e
2.564012,0.348736,a
-2.823923,-1.605234,g
-2.681132,-0.602729,f
2.964212,0.993653,b
2.182861,-0.057353,a
-2.223572,-0.963284,g
2.501592,0.375133,a
0.970023,-2.620056,i
2.730268,-0.450677,a
1.058942,-1.105028,j
2.238499,0.0846,a
0.278906,2.326288,c
1.784822,1.662448,b
3.179943,-0.448771,a
-1.965863,-1.468594,g
-0.636275,-1.518336,h
-1.783365,1.352839,e
-1.769949,1.481343,e
-1.912852,-1.285842,g
2.303977,-0.143291,a
-1.877406,-1.590464,g
-2.559812,-1.560387,g
-1.132837,2.168551,d
-0.874765,-3.123903,h
1.871371,1.15895,b
1.043121,-2.004474,i
-2.109546,1.003423,e
0.228232,1.874861,c
-1.960953,1.143372,e
2.09885,1.634974,b
-1.109952,2.329604,d
2.31538,-0.362039,a
1.690268,1.711823,b
0.393136,2.361967,c
-2.072736,-1.916913,g
-1.611282,-3.102074,h
0.345191,-2.70949,i
1.052039,2.092965,c
0.227747,-2.329938,i
-2.547404,-0.383792,f
0.683,1.851745,c
1.471313,1.711389,b
2.533052,-0.354798,a
2.651912,-1.486898,j
2.527715,-0.95879,j
-2.138375,-1.000732,g
-0.943769,2.267861,d
-1.813808,1.611806,d
1.391368,2.523567,c
2.651584,0.198182,a
0.54012,2.326255,c
2.706098,0.112049,a
2.90307,0.033178,a
-2.693498,0.036871,f
-1.869536,-1.262152,g
-2.427375,-1.156175,g
0.239996,2.426708,c
2.428712,-1.382096,j
3.163304,-0.493088,a
-1.896245,-2.162755,g
2.373331,1.26865,b
0.692724,2.428893,c
1.872848,-1.517438,j
-2.214297,1.614123,e
0.391811,-2.505979,i
3.228383,-1.536069,j
1.787175,-0.204934,a
-2.08145,1.064273,e
-0.557261,2.073146,c
-2.313986,-0.397878,f
2.830922,-0.091244,a
-2.158325,-0.728833,g
-2.039811,-1.779075,g
2.133533,-1.746213,j
1.912346,-0.445562,a
-2.936255,0.286514,f
2.125681,-0.034983,a
-1.181365,2.597076,d
3.254737,0.25706,a
-0.375525,-2.574809,h
0.918921,-2.951899,i
2.605537,-0.418887,a
1.639665,0.65928,a
-1.436384,2.228138,d
-1.905325,-1.375199,g
1.965856,0.333431,a
-2.272356,0.010279,f
2.266934,-1.870312,j
-1.582707,2.576699,e
-0.692202,2.483965,d
2.110341,0.513471,b
2.352241,1.265464,b
1.931694,-1.872691,j
0.628264,-2.119841,i
3.216239,0.393419,a
