r100014,r397114
r100062,r170033
r100084,r103211
r100103,r263338
r100103,r512040
r100136,r337951
r100152,r636373
r100210,r288820
r100210,r566402
r100222,r362589
r100277,r516120
r100297,r443328
r100302,r125582
r100302,r160883
r100302,r937073
r100364,r907778
r100365,r314074
r100478,r577464
r100478,r837245
r100538,r621616
r100545,r981761
r100589,r490460
r100591,r186199
r100591,r262066
r100591,r278769
r100591,r369610
r100591,r761703
r100591,r860103
r100591,r869455
r100604,r342571
r100608,r900877
r100616,r785304
r100630,r564736
r100630,r823178
r100635,r829286
r100671,r467387
r100686,r316458
r100690,r571960
r100705,r769477
r100794,r981976
r100820,r167708
r100873,r268076
r100913,r107826
r100924,r214995
r100924,r806744
r100930,r836251
r100978,r737555
r101026,r155263
r101031,r282224
r101031,r675713
r101031,r801424
r101072,r881124
r101077,r142315
r101086,r843770
r101106,r251799
r101106,r435716
r101127,r272502
r101144,r111818
r101144,r183223
r101144,r270477
r101144,r419756
r101144,r741172
r101144,r855946
r101144,r998408
r101145,r457595
r101146,r211182
r101151,r564574
r101151,r671559
r101166,r762985
r101222,r450510
r101223,r556906
r101223,r682783
r101266,r494453
r101302,r430741
r101320,r929970
r101375,r478017
r101424,r193645
r101424,r342593
r101438,r912223
r101464,r234868
r101534,r663102
r101534,r683326
r101534,r870869
r101543,r844830
r101547,r435106
r101547,r630444
r101569,r287741
r101569,r912575
r101688,r389512
r101688,r547558
r101688,r703094
r101701,r624654
r101734,r317613
r101779,r101671
r101795,r134875
r101824,r419946
r101824,r456302
r101824,r816149
r101825,r935421
r101844,r308628
r101853,r316067
r101853,r454870
r101937,r790475
r101948,r190564
r101954,r651782
r101974,r772656
r102029,r120718
r102029,r467615
r102029,r552706
r102029,r597740
r102029,r841157
r102141,r393489
r102141,r708532
r102155,r714278
r102218,r771590
r102260,r100590
r102260,r330536
r102260,r476903
r102267,r186194
r102267,r708844
r102267,r983458
r102267,r990177
r102311,r396985
r102311,r532498
r102464,r617337
r102464,r707681
r102466,r133211
r102488,r427952
r102488,r438372
r102488,r729318
r102488,r775925
r102517,r256106
r102577,r915549
r102655,r762649
r102703,r433167
r102835,r223839
r102835,r345058
r102835,r346684
r102835,r436559
r102835,r796768
r102835,r865885
r102835,r876563
r102876,r175865
r102905,r129580
r102905,r157838
r102905,r457424
r102906,r470282
r102950,r102923
r102965,r334335
r102965,r610736
r102976,r183256
r103053,r358004
r103053,r507527
r103081,r398276
r103110,r303663
r103128,r361947
r103128,r754112
