r100028,r296741
r100225,r495618
r100233,r151431
r100233,r177354
r100250,r596172
r100265,r778356
r100271,r726472
r100296,r112206
r100476,r147015
r100501,r135388
r100624,r771085
r100845,r608516
r100919,r106716
r100919,r452465
r100919,r632974
r100936,r380574
r101031,r981992
r101053,r772422
r101088,r513650
r101090,r166190
r101222,r556629
r101283,r176993
r101289,r202317
r101301,r641246
r101321,r152514
r101323,r139195
r101379,r400218
r101548,r136923
r101619,r272904
r101722,r935482
r101793,r223030
r101809,r517949
r101854,r636421
r101867,r796825
r101916,r326338
r101961,r985844
r101969,r534419
r102006,r761489
r102124,r736166
r102163,r470178
r102290,r388700
r102326,r300311
r102380,r260734
r102536,r958387
r102553,r676672
r102572,r651338
r102668,r786899
r102961,r338036
r102984,r417466
r103082,r633838
r103086,r973142
r103158,r520648
r103179,r200769
r103237,r918253
r103245,r660749
r103276,r899227
r103366,r264617
r103453,r170591
r103458,r139410
r103555,r111601
r103555,r140957
r103555,r284547
r103614,r591711
r103728,r374442
r103736,r645495
r103801,r673452
r103820,r876567
r103941,r600716
r104003,r317548
r104083,r780817
r104087,r195576
r104097,r425287
r104223,r528083
r104401,r585907
r104451,r161365
r104451,r165273
r104451,r494974
r104451,r911538
r104451,r937720
r104642,r801416
r104940,r137828
r104940,r160168
r104940,r281624
r104940,r821732
r104975,r562091
r104981,r721367
r105009,r822697
r105048,r413065
r105091,r157720
r105163,r197094
r105227,r734749
r105323,r522639
r105362,r196812
r105373,r986064
r105467,r870448
r105691,r145844
r105725,r463666
r105744,r177645
r105788,r986883
r105947,r507236
r106066,r207607
r106066,r491654
r106066,r894834
r106239,r700282
r106261,r272161
r106535,r522163
r106653,r381361
r106679,r993141
r106794,r187929
r106818,r567537
r106820,r904496
r106858,r575875
r106936,r316354
r107096,r663258
r107249,r353238
r107269,r496256
r107285,r633441
r107295,r104914
r107316,r697684
r107380,r129131
r107380,r160168
r107478,r693882
r107490,r802269
r107593,r102073
r107666,r465403
r107680,r169600
r107696,r980045
r107699,r721677
r107767,r856353
r107799,r135770
